2022-06-23_23:35:44.547 [http-nio-8084-exec-1] WARN  c.e.demo.controller.ItemController - The item 90 does not exist.
2022-06-23_23:35:54.763 [http-nio-8084-exec-3] WARN  c.e.demo.controller.ItemController - The item 1892 could not be found
2022-06-24_00:29:26.378 [http-nio-8084-exec-3] WARN  c.e.demo.controller.ItemController - The item 90 does not exist.
2022-06-24_00:29:34.629 [http-nio-8084-exec-5] WARN  c.e.demo.controller.ItemController - The item 234 does not exist.
2022-06-24_00:29:48.411 [http-nio-8084-exec-4] WARN  c.e.demo.controller.ItemController - Item 91 could not be found
2022-06-24_00:31:51.046 [http-nio-8084-exec-2] WARN  c.e.demo.controller.ItemController - Item 91 could not be found
2022-06-24_01:07:00.188 [restartedMain] INFO  c.e.d.RevatureFirstProjectApplication - Starting RevatureFirstProjectApplication using Java 1.8.0_331 on t3chkn0w with PID 20948 (C:\Users\t3chk\code\revature-project-one\target\classes started by t3chk in C:\Users\t3chk\code\revature-project-one)
2022-06-24_01:07:00.231 [restartedMain] INFO  c.e.d.RevatureFirstProjectApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-24_01:07:06.337 [restartedMain] INFO  c.e.d.RevatureFirstProjectApplication - Started RevatureFirstProjectApplication in 6.643 seconds (JVM running for 7.534)
2022-06-24_01:07:24.461 [http-nio-8084-exec-2] WARN  c.e.demo.controller.ItemController - Item 9345 could not be found
2022-06-24_01:07:42.978 [http-nio-8084-exec-3] WARN  c.e.demo.controller.ItemController - The item 51633 could not be found
2022-06-24_01:07:50.707 [http-nio-8084-exec-4] WARN  c.e.demo.controller.ItemController - The item 0 does not exist.
2022-06-24_01:09:14.294 [restartedMain] INFO  c.e.d.RevatureFirstProjectApplication - Starting RevatureFirstProjectApplication using Java 1.8.0_331 on t3chkn0w with PID 1352 (C:\Users\t3chk\code\revature-project-one\target\classes started by t3chk in C:\Users\t3chk\code\revature-project-one)
2022-06-24_01:09:14.294 [restartedMain] INFO  c.e.d.RevatureFirstProjectApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-24_01:09:19.965 [restartedMain] INFO  c.e.d.RevatureFirstProjectApplication - Started RevatureFirstProjectApplication in 6.217 seconds (JVM running for 7.12)
2022-06-24_01:09:30.748 [http-nio-8084-exec-2] WARN  c.e.demo.controller.ItemController - The item 78123 does not exist.
2022-06-24_01:09:41.407 [http-nio-8084-exec-3] WARN  c.e.demo.controller.ItemController - Item 621 could not be found
2022-06-24_01:09:58.463 [http-nio-8084-exec-4] WARN  c.e.demo.controller.ItemController - The item 891 could not be found
2022-06-24_01:10:25.005 [http-nio-8084-exec-5] INFO  c.e.demo.controller.ItemController - Returning item(s) [Item(itemId=2, totalItemQuantity=50000, itemPrice=25, itemName=Cookies & Cream Ice Cream Bars)]
2022-06-24_07:36:15.528 [restartedMain] INFO  c.e.d.RevatureFirstProjectApplication - Starting RevatureFirstProjectApplication using Java 1.8.0_331 on t3chkn0w with PID 16204 (C:\Users\t3chk\code\revature-project-one\target\classes started by t3chk in C:\Users\t3chk\code\revature-project-one)
2022-06-24_07:36:15.544 [restartedMain] INFO  c.e.d.RevatureFirstProjectApplication - No active profile set, falling back to 1 default profile: "default"
